Label,Notation,Parent Notation,Sort Priority
All benefit units,all-benefit-units,,
Pensioner couple,pensioner-couple,,
Pensioner couple married or civil partnered,pensioner-couple-married-or-civil-partnered,,
Pensioner couple cohabiting,pensioner-couple-cohabiting,,
Single female pensioner,single-female-pensioner,,
Single male pensioner,single-male-pensioner,,
Couple with children,couple-with-children,,
Couple with children married or civil partnered,couple-with-children-married-or-civil-partnered,,
Couple with children cohabiting,couple-with-children-cohabiting,,
Couple without children,couple-without-children,,
Couple without children married or civil partnered,couple-without-children-married-or-civil-partnered,,
Couple without children cobabiting,couple-without-children-cobabiting,,
Couple without children cohabiting,couple-without-children-cohabiting,,
Single with children,single-with-children,,
Single male without children,single-male-without-children,,
Single female without children,single-female-without-children,,
Why do you not see this codelist,why-do-you-not-see-this-codelist,,
