Label,Notation,Parent Notation,Sort Priority
Less than 100 a week,less-than-100-a-week,,
100 but less than 200,100-but-less-than-200,,
200 but less than 300,200-but-less-than-300,,
300 but less than 400,300-but-less-than-400,,
400 but less than 500,400-but-less-than-500,,
500 but less than 600,500-but-less-than-600,,
600 but less than 700,600-but-less-than-700,,
700 but less than 800,700-but-less-than-800,,
800 but less than 900,800-but-less-than-900,,
900 but less than 1000,900-but-less-than-1000,,
1000 or more,1000-or-more,,
