Label,Notation,Parent Notation,Priority
United Kingdom,united-kingdom,,1
England,england,,2
Wales,wales,,3
Scotland,scotland,,4
Northern Ireland,northern-ireland,,5
Great Britain,great-britain,,6
North East,north-east,,7
North West,north-west,,8
Yorkshire and the Humber,yorkshire-and-the-humber,,9
East Midlands,east-midlands,,10
West Midlands,west-midlands,,11
East,east,,12
London,london,,13
Inner London,inner-london,,14
Outer London,outer-london,,15
South East,south-east,,16
South West,south-west,,17
All-Households,all-households,,18
