Label,Notation,Parent Notation,Priority
all-households,all-households,,1
all-in-receipt-of-state-support,all-in-receipt-of-state-support,,2
all-in-receipt-of-benefit,all-in-receipt-of-benefit,,3
all-in-receipt-of-tax-credits,all-in-receipt-of-tax-credits,,4
on-any-income-related-benefit,on-any-income-related-benefit,,5
on-any-non-income-related-benefit,on-any-non-income-related-benefit,,6
working-tax-credit,working-tax-credit,,7
child-tax-credit,child-tax-credit,,8
child-benefit,child-benefit,,9
income-support,income-support,,10
pension-credit,pension-credit,,11
housing-benefit,housing-benefit,,12
council-tax-reduction,council-tax-reduction,,13
state-pension,state-pension,,14
jobseeker-s-allowance,jobseeker-s-allowance,,15
employment-and-support-allowance,employment-and-support-allowance,,16
attendance-allowance,attendance-allowance,,17
carer-s-allowance,carer-s-allowance,,18
disability-living-allowance-care-component,disability-living-allowance-care-component,,19
disability-living-allowance-mobility-component,disability-living-allowance-mobility-component,,20
personal-independence-payment-daily-living-component,personal-independence-payment-daily-living-component,,21
personal-independence-payment-mobility-component,personal-independence-payment-mobility-component,,22
widow-s-benefits,widow-s-benefits,,23
industrial-injuries-disablement-benefit,industrial-injuries-disablement-benefit,,24
armed-forces-compensation-scheme,armed-forces-compensation-scheme,,25
all-benefit-units,all-benefit-units,,26
