Label,Notation,Parent Notation,Sort Priority
Affordable Home Ownership,affordable-home-ownership,,1
Affordable Rent,affordable-rent,,2
All Affordable,all-affordable,,3
Intermediate Rent,intermediate-rent,,4
London Affordable Rent,london-affordable-rent,,5
Shared Ownership,shared-ownership,,6
Social Rent,social-rent,,7
Unknown Tenure,unknown-tenure,,8
Private Enterprise,private-enterprise,,9
Housing Associations,housing-associations,,10
Local Authorities,local-authorities,,11
All Dwellings,all-dwellings,,12
All Tenures,all-tenures,,13
All Long-Term Vacants,all-long-term-vacants,,14
All vacants,all-vacants,,15
LA-owned vacants,la-owned-vacants,,16
Other public sector vacants,other-public-sector-vacants,,17
PRP gen needs long-term vacants,prp-gen-needs-long-term-vacants,,18
PRP gen needs vacants,prp-gen-needs-vacants,,19
Owner Occupied,owner-occupied,,20
Other Public Sector Dwellings,other-public-sector-dwellings,,21
