Label,Notation,Parent Notation,Sort Priority
Isle of Anglesey,W06000001,,
Wales,W92000004,,
Gwynedd,W06000002,,
Conwy,W06000003,,
Denbighshire,W06000004,,
Flintshire,W06000005,,
Wrexham,W06000006,,
Powys,W06000023,,
Ceredigion,W06000008,,
Pembrokeshire,W06000009,,
Carmarthenshire,W06000010,,
Swansea,W06000011,,
Neath Port Talbot,W06000012,,
Bridgend,W06000013,,
Vale of Glamorgan,W06000014,,
Rhondda Cynon Taf,W06000016,,
Merthyr Tydfil,W06000024,,
Caerphilly,W06000018,,
Blaenau Gwent,W06000019,,
Torfaen,W06000020,,
Monmouthshire,W06000021,,
Newport,W06000022,,
Cardiff,W06000015,,
